Commodity Type,Genus,Revenue/Acre [est],USDA Zones,Preferred soil drainage,Prefered pH,
Basil,Ocimum spp.,"$4,000 – $8,000",Zones 4-12 (annual in colder zones),Well-drained,6.0–7.5,Loam
Bat nut or devil pod,Trapa spp.,"$1,000 – $2,000",Zones 10-12,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Bay laurel,Laurus spp.,"$1,500 – $3,500",Zones 7-12,Well-drained,6.0–7.0,Loam
Bean sprouts (mung bean and soybean),"Vigna spp., Glycine spp.","$4,000 – $8,000",Zones 9-12 (as plants),Well-drained,6.0–7.5,Loam
"Bean, garden",Phaseolus spp.,"$2,500 – $5,000",Zones 5-10,Well-drained,6.0–7.5,Loam
"Bean, lima",Phaseolus spp.,"$2,500 – $5,000",Zones 5-10,Well-drained,6.0–7.5,Loam
"Bean, string",Phaseolus spp.,"$2,500 – $5,000",Zones 5-10,Well-drained,6.0–7.5,Loam
Beet,Beta spp.,"$2,000 – $4,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Begonia,Begonia spp.,"$5,000 – $10,000 (ornamental)",Zones 9-12,Well-drained,6.0–6.5,Loam
Beremi,Limnophila spp.,"$2,000 – $4,000",Zones 5-12,Excessive (wetland),6.5–8.0,Clay and Loam (wetland)
Bergamot,Monarda spp.,"$2,500 – $5,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Bilimbi,Averrhoa spp.,"$2,500 – $5,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Bitter melon,Momordica spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.5,Loam
Black palm nut,Astrocaryum spp.,"$1,500 – $3,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Black pepper,Piper spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Black salsify,Scorzonera spp.,"$1,500 – $3,000",Zones 4-8,Well-drained,6.0–7.5,Loam
Blackberry,Rubus spp.,"$4,000 – $8,000",Zones 4-8,Well-drained,5.5–6.5,Loam
Blackthorn (sloe),Prunus spp. except for Prunus africana,$300 – $600,Zones 5-8,Moderate,6.0–7.5,Loam
Blueberry,Vaccinium spp.,"$6,000 – $12,000",Zones 3-9,"Acidic, Well-drained",4.5–5.5,Loam and Clay (acidic)
Bonnet bellflower,Codonopsis spp.,"$2,000 – $4,000",Zones 3-8,Well-drained,6.0–7.5,Loam
Borage,Borago spp.,"$3,000 – $6,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Boysenberry,Rubus spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,5.5–6.5,Loam
Brazil nut,Bertholletia spp.,"$2,000 – $4,000 (wild harvest)",Zones 10-12,Well-drained,6.0–7.5,Loam
Breadfruit,Artocarpus spp.,"$2,500 – $5,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Breadnut,Brosimum spp,"$2,500 – $5,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Broccoli,Brassica spp.,"$5,000 – $10,000",Zones 3-10,Well-drained,6.0–7.0,Loam
Brussel Sprouts,Brassica spp.,"$4,000 – $8,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Buckwheat,Fagopyrum spp.,"$600 – $1,200",Zones 4-9,Moderate,6.0–7.5,Sand and Loam
Burdock,Arctium spp.,"$1,000 – $2,000",Zones 3-8,Moderate,6.0–7.5,Loam
Burnet,Sanguisorba spp.,"$1,500 – $3,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Butterbur,Petasites spp.,"$2,000 – $4,000",Zones 3-8,"Moist, Well-drained",6.0–7.5,Clay and Loam (moist)
Cabbage,Brassica spp.,"$3,000 – $6,000",Zones 2-9,Well-drained,6.0–7.0,Loam
Cacao,Theobroma spp.,"$4,000 – $8,000",Zones 11-12,Well-drained,5.0–6.5,Loam
Canaigre,Rumex spp.,"$1,000 – $2,000",Zones 5-9,Moderate,5.5–7.0,Loam
Canary seed,Phalaris spp.,$400 – $800,Zones 4-8,Moderate,6.5–7.5,Sand and Loam
Cane,"Arundo spp., Arundinaria spp.","$1,500 – $3,000",Zones 9-12,Excessive (flooded),6.0–7.5,Clay and Loam (flooded)
Cannonball fruit,Couroupita spp.,"$2,000 – $4,000",Zones 10-12,Well-drained,6.0–7.5,Loam
Cantaloupe,Cucumis spp.,"$3,500 – $7,000",Zones 3-10,Well-drained,6.0–7.5,Loam
Cape gooseberry,Philsalis spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Caper,Capparis spp.,"$6,000 – $12,000",Zones 8-11,Poor (well-drained),7.0–8.5,Sand and Loam
Carambola,Averrhoa spp.,"$3,500 – $7,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Caraway,Carum spp.,"$1,000 – $2,000",Zones 3-8,Well-drained,6.5–7.5,Loam
Cardamom,Elettaria spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Carnation,Dianthus spp.,"$10,000 – $20,000 (cut flower)",Zones 5-9,Well-drained,6.5–7.5,Loam
Carnauba Palm,Copernicia spp.,"$1,500 – $3,000",Zones 10-12,Well-drained,6.0–7.0,Sand and Loam
Carrot,Daucus spp.,"$3,000 – $6,000",Zones 4-10,Well-drained,6.0–7.5,Sand and Loam
Cashew apple,Anacardium spp.,"$2,000 – $4,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Cashew nut,Anacardium spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Cassava,Manihot spp.,"$1,000 – $2,500",Zones 10-12,Moderate,5.5–6.5,Loam
Castor bean,Ricinus spp.,"$1,000 – $2,000",Zones 4-11 (annual),Moderate,6.0–7.5,Loam
Cauliflower,Brassica spp.,"$5,000 – $10,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Celeriac,Apium spp.,"$3,000 – $6,000",Zones 3-9,Well-drained,6.5–7.5,Loam
Celery,Apium spp.,"$4,000 – $8,000",Zones 3-9,Well-drained,6.5–7.5,Loam
Ceriman,Monstera spp.,"$2,500 – $5,000",Zones 10-12,Well-drained,6.0–7.5,Loam
Chamomile,Matricaria spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Chayote,Sechium spp.,"$2,500 – $5,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Chenille copperleaf,Acalypha spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Cherimoya,Annona spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Cherry,Prunus spp. except for Prunus africana,"$6,000 – $12,000",Zones 4-8,Well-drained,6.0–7.5,Loam
Chervil,Anthriscus spp.,"$3,000 – $6,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Chestnut,Castanea spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,5.5–6.5,Loam
Chickpea,Cicer spp.,"$800 – $1,500",Zones 5-9,Moderate,7.0–8.5,Sand and Loam
Chicory,Cichorium spp.,"$2,000 – $4,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Chilean cranberry,Ugni spp.,"$3,500 – $7,000",Zones 10-12,"Acidic, Well-drained",5.0–6.5,Loam and Clay (acidic)
Chinese amaranth,Amaranthus spp.,"$2,000 – $4,000",Zones 2-10,Moderate,6.0–7.5,Loam
Chinese bellflower,Platycodon spp.,"$3,000 – $6,000",Zones 3-8,Well-drained,6.0–7.5,Loam
Chinese cabbage,Brassica spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Chinese sand pear,Pyrus spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Chinese water chestnut,Eleocharis spp.,"$4,000 – $8,000",Zones 8-11,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Chive,Allium spp.,"$3,000 – $6,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Chrysanthemum,Chrysanthemum spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Cilantro,Coriandrum spp.,"$3,500 – $7,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Cinnamon,Cinnamomum spp.,"$6,000 – $12,000",Zones 11-12,Well-drained,5.5–6.5,Loam
Cipollino (cipollini onion),Muscari spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Citron,Citrus spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Clementine,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Clover,Trifolium spp.,$400 – $800,Zones 3-8,Moderate,6.0–7.5,Loam
Cloves,Syzygium spp.,"$10,000 – $20,000",Zones 11-12,Well-drained,5.5–6.5,Loam
Cockscomb,Celosia spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Coconut,Cocos spp.,"$2,500 – $5,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Cocoplum,Chrysobalanus spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Coffee,Coffea spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Colza,Brassica spp.,"$500 – $1,000",Zones 3-9,Moderate,6.0–7.0,Loam
Coriander,Coriandrum spp.,"$2,500 – $5,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Corn,Zea spp.,"$500 – $1,000",Zones 4-10,Moderate,6.0–7.5,Loam
Corn smut galls,Zea spp. and Ustilago spp. (fungus),"$1,500 – $3,000",Zones 4-10,Moderate,6.0–7.5,Loam
Cornmint,Mentha spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Cornsalad,Valerianella spp.,"$2,500 – $5,000",Zones 4-8,Well-drained,6.0–7.5,Loam
Cotton,Gossypium spp.,"$500 – $1,000",Zones 8-11,Moderate,6.0–7.5,Loam
Cowpeas,Vigna spp.,"$800 – $1,500",Zones 9-12,Moderate,6.0–7.5,Loam
Cranberry,Vaccinium spp.,"$4,000 – $8,000",Zones 3-7,Excessive (boggy),4.5–5.5,Clay and Loam (boggy)
Crocus,Crocus spp.,"$6,000 – $12,000",Zones 3-8,Well-drained,6.5–7.5,Loam
Cucumber,Cucumis spp.,"$4,000 – $8,000",Zones 5-11,Well-drained,6.0–7.5,Loam
Cucurbit,"Cucurbita spp., Momordica spp.","$3,000 – $6,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Cumin,Cuminum spp.,"$2,500 – $5,000",Zones 6-9,Well-drained,6.5–7.5,Loam
Currant,Ribes spp.,"$5,000 – $10,000",Zones 3-7,Well-drained,6.0–7.0,Loam
Curry,Murraya spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Custard apple,Annona spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Cyperus corm,Cyperus spp.,"$2,000 – $4,000",Zones 5-11,Excessive (wetland),6.5–7.5,Clay and Loam (wetland)
Dandelion,Taraxacum spp.,"$1,500 – $3,000",Zones 3-9,Moderate,6.0–7.5,Loam
Dasheen,"Colocasia spp., Alocasia spp., Xanthosoma spp.","$3,000 – $6,000",Zones 10-12,Excessive (wetland),6.0–7.0,Clay and Loam (wetland)
Date,Phoenix spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,7.0–8.5,Loam
Dill,Anethum spp.,"$2,500 – $5,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Dragon fruit,Hylocereus spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,6.0–7.0,Loam
"Dropwort, water",Oenanthe spp.,"$2,000 – $4,000",Zones 4-8,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Drumstick,Moringa spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.5,Loam
Durian,Durio spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Edible Pansy,Viola spp.,"$8,000 – $15,000",Varies (Zones 5-10 typical),Well-drained,6.0–7.5,Loam
Eggplant,Solanum spp.,"$4,000 – $8,000",Zones 5-12,Well-drained,6.0–7.0,Loam
Endive,Cichorium spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.5–7.5,Loam
Epizote,Dysphania spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Eryngo,Eryngium spp.,"$2,500 – $5,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Escarole,Cichorium spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.5–7.5,Loam
Ethrog,Citrus spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Faba bean,Vicia spp.,"$800 – $1,500",Zones 5-9,Moderate,6.0–7.5,Loam
False coriander,Eryngium spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.5–7.5,Loam
Fameflower,Talinum spp.,"$2,000 – $4,000",Zones 8-11,Well-drained,6.0–7.5,Loam
Feijoa,Acca spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Fennel,Foeniculum spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Fenugreek,Trigonella spp.,"$2,000 – $4,000",Zones 5-9,Moderate,7.0–8.5,Loam
Fescue,Festuca spp.,$400 – $800,Zones 4-7,Moderate,6.0–7.0,Loam
Fiddlehead greens,Pteridium spp. Matteuccia spp. Osmunda spp.,"$5,000 – $10,000",Zones 3-8,"Moist, Well-drained",5.5–6.5,Loam and Clay (moist)
Fig,Ficus spp.,"$4,000 – $8,000",Zones 5-11,Well-drained,6.5–7.5,Loam
Filbert,Corylus spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Flax,Linum spp.,"$600 – $1,200",Zones 3-7,Moderate,6.0–7.0,Sand and Loam
Foxhead,Solanum spp.,"$2,000 – $4,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Galanga,Kaempferia spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Galia melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Garden cress,Lepidium spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Garlic,Allium spp.,"$6,000 – $12,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Garlic chive,Allium spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Genip,Melicoccus spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Geranium,Geranium spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,6.5–7.5,Loam
German chamomile,Matricaria spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Ginger,Zingiber spp.,"$8,000 – $15,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Gingko,Ginko spp.,"$3,000 – $6,000",Zones 3-8,Moderate,5.0–7.5,Loam
Gladiolus,Gladiolus spp.,"$8,000 – $15,000",Zones 7-10,Well-drained,6.0–7.0,Loam
Goa bean,Psophocarpus spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Gooseberry,Ribes spp.,"$5,000 – $10,000",Zones 3-7,Well-drained,6.0–7.0,Loam
Governor's plum,Flacourtia spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Gow-kee,Lycium spp.,"kee – $4,000 – $8,000",Zones 9-12,Well-drained,kee (Lycium spp.) – 7.0–8.5,kee (Lycium spp.) – Loam
Grape,Vitis spp.,"$6,000 – $12,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Grapefruit,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Grasses,"Festuca spp., Poa spp., Lolium spp., Many others genera in family Poaceae",$400 – $800,Varies (Zones 4-9 typical),Moderate,6.0–7.5,Loam
Green bean,Phaseolus spp.,"$3,000 – $6,000",Zones 5-10,Well-drained,6.0–7.5,Loam
Green onion,Allium spp.,"$5,000 – $10,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Guar,Cyamopsis spp.,"$1,000 – $2,000",Zones 9-12,Moderate,7.0–8.5,Sand and Loam
Guava,Psidium spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Guayule,Parthenium spp.,"$1,500 – $3,000",Zones 8-11,Poor,7.0–8.5,Sand and Loam
Gypsophila,Gypsophila spp.,"$5,000 – $10,000",Zones 3-8,Well-drained,7.0–8.5,Loam
Hazelnut,Corylus spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Heartleaf,Houttuynia spp.,"$3,000 – $6,000",Zones 9-12,"Moist, Well-drained",6.0–7.0,Loam and Clay
Honewort,Cryptotaenia spp.,"$3,000 – $6,000",Zones 4-8,Well-drained,6.0–7.5,Loam
Honeydew melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Hops,Humulus spp.,"$6,000 – $12,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Horsechesnut,Aesculus spp.,"$2,000 – $4,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Horseradish,Armoracia spp.,"$4,000 – $8,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Goosefoots,Chenopodium spp.,"$3,000 – $6,000",Zones 5-9,Moderate,6.0–7.5,Loam
Huckleberry,Vaccinium spp.,"$3,000 – $6,000",Zones 3-7,"Acidic, Well-drained",4.5–5.5,Loam and Clay (acidic)
Hyacinth,Hyacinthus spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Hyacinth bean,Lablab spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Indian mulberry,Morinda spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.5,Loam
Indigo,Indigofera spp.,"$3,000 – $6,000",Zones 8-11,Well-drained,6.0–7.0,Loam
Iris,Iris spp.,"$5,000 – $10,000",Zones 3-9,Well-drained,6.5–7.5,Loam
Ivy gourd,Coccinia spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Jackfruit,Artocarpus spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Japanese honewort,Cryptotaenia spp.,"$3,000 – $6,000",Zones 5-8,Well-drained,6.0–7.5,Loam
Jasmine,Jasminum spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Jessamine,Jasminum spp.,"$4,000 – $8,000",Zones 8-11,Well-drained,6.0–7.0,Loam
Jicama,Pachyrhizus spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Jojoba,Simmondsia spp.,"$3,000 – $6,000",Zones 9-12,Poor,7.0–8.5,Sand and Loam
"Jujube, common",Ziziphus spp.,"$4,000 – $8,000",Zones 5-10,Well-drained,7.0–8.5,Loam
Juniper,Juniperus spp.,"$2,500 – $5,000",Zones 3-8,Moderate,7.0–8.5,Sand and Loam
Jute,Corchorus spp.,"$1,500 – $3,000",Zones 9-12,Moderate,6.0–7.5,Loam
Kale,Brassica spp.,"$5,000 – $10,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Kava,Piper spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Kiwanos melon,Cucumis spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Kiwi,Actinidia spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,5.5–6.5,Loam
Knotweed,Polygonum spp.,"$3,000 – $6,000",Zones 3-9,Moderate,6.0–7.5,Loam
Kohlrabi,Brassica spp.,"$4,000 – $8,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Kola nut,Cola spp.,"$5,000 – $10,000",Zones 11-12,Well-drained,5.5–6.5,Loam
Kudzu,Pueraria spp.,"$1,500 – $3,000",Zones 5-9,Moderate,6.0–7.5,Loam
Kumquat,Fortunella spp.,"$5,000 – $10,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Lamb's quarters,Chenopodium spp.,"$2,000 – $4,000",Zones 3-9,Poor,6.5–8.0,Loam
Langsat,Lansium spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Lavender,Lavendulla spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,7.0–8.5,Sand and Loam
Lavendin,Lavendulla spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,7.0–8.5,Sand and Loam
Leche caspi,Couma spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Leek,Allium spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Lemon,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Lemon balm,Melissa spp.,"$4,000 – $8,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Lemongrass,Cymbopogon spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Lentil,Lens spp.,"$800 – $1,500",Zones 5-8,Moderate,7.0–8.5,Loam
Leren,Calethea spp.,"$2,000 – $4,000",Zones 4-8,Well-drained,6.0–7.5,Loam
Lettuce,Lactuca spp.,"$8,000 – $15,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Leucaena,Leucaena spp.,"$2,000 – $4,000",Zones 10-12,Moderate,6.0–7.5,Loam
Lily,Lilium spp.,"$6,000 – $12,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Lily of the Valley,Convallaria spp.,"$4,000 – $8,000",Zones 4-8,"Moist, Well-drained",6.0–7.0,Loam and Clay
Lima Bean,Phaseolus spp.,"$3,000 – $6,000",Zones 5-10,Well-drained,6.0–7.5,Loam
Lime,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Linseed,Linum spp.,"$600 – $1,200",Zones 3-7,Moderate,6.0–7.0,Sand and Loam
Litchi,Litchi spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Locust bean,Ceratonia spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,7.0–8.5,Loam
Logan berry,Rubus spp.,"$5,000 – $10,000",Zones 8-9,Well-drained,5.5–6.5,Loam
Longan,Dimocarpus spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Loquat,Eryobotrya spp.,"$4,000 – $8,000",Zones 8-11,Well-drained,5.5–6.5,Loam
Loroco,Fernaldia spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Lotus root,Nelumbo spp.,"$5,000 – $10,000",Zones 8-11,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Lucuma,Pouteria spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Lupines,Lupinus spp.,"$1,500 – $3,000",Zones 3-7,Moderate,6.0–7.0,Loam
Lychee,Litchi spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Macademia nut,Macademia spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Mace,Myristica spp.,"$10,000 – $20,000",Zones 11-12,Well-drained,5.5–6.5,Loam
